0,1
0X03FF00,0X4B
0X03FF01,0XBB
0X03FF02,0XDC
0X03FF03,0XF3
0X03FF04,0X86
0X03FF05,0XE2
0X03FF06,0X5B
0X03FF07,0XDD
0X03FF08,0X51
0X03FF09,0X0D
0X03FF0A,0X87
0X03FF0B,0XDC
0X03FF0C,0X01
0X03FF0D,0X9D
0X03FF0E,0X02
0X03FF0F,0X38
0X03FF10,0X79
0X03FF11,0XE1
0X03FF12,0X97
0X03FF13,0XF7
0X03FF14,0X63
0X03FF15,0XCD
0X03FF16,0X62
0X03FF17,0X9F
0X03FF18,0X15
0X03FF19,0X2E
0X03FF1A,0X1F
0X03FF1B,0XF2
0X03FF1C,0X2E
0X03FF1D,0X27
0X03FF1E,0X62
0X03FF1F,0X57
0X03FF20,0X54
0X03FF21,0X33
0X03FF22,0XA1
0X03FF23,0XD1
0X03FF24,0X07
0X03FF25,0XD3
0X03FF26,0X1F
0X03FF27,0XD4
0X03FF28,0X2E
0X03FF29,0X08
0X03FF2A,0X09
0X03FF2B,0XD3
0X03FF2C,0X26
0X03FF2D,0X5C
0X03FF2E,0XAE
0X03FF2F,0X3A
0X03FF30,0XD1
0X03FF31,0XC8
0X03FF32,0X29
0X03FF33,0X3A
0X03FF34,0X9A
0X03FF35,0X49
0X03FF36,0XFB
0X03FF37,0XD7
0X03FF38,0XF7
0X03FF39,0X05
0X03FF3A,0X19
0X03FF3B,0X4D
0X03FF3C,0X22
0X03FF3D,0XC1
0X03FF3E,0X5B
0X03FF3F,0X10
0X03FF40,0X8E
0X03FF41,0X03
0X03FF42,0X22
0X03FF43,0XFC
0X03FF44,0XBF
0X03FF45,0X9C
0X03FF46,0X64
0X03FF47,0X61
0X03FF48,0X39
0X03FF49,0X4F
0X03FF4A,0XC3
0X03FF4B,0X4E
0X03FF4C,0XF5
0X03FF4D,0X09
0X03FF4E,0XC2
0X03FF4F,0X8E
0X03FF50,0XE5
0X03FF51,0X48
0X03FF52,0X10
0X03FF53,0X3F
0X03FF54,0XC4
0X03FF55,0XC9
0X03FF56,0X8F
0X03FF57,0XFF
0X03FF58,0X91
0X03FF59,0XB0
0X03FF5A,0X5C
0X03FF5B,0XAE
0X03FF5C,0X22
0X03FF5D,0X8C
0X03FF5E,0X19
0X03FF5F,0X44
0X03FF60,0XD6
0X03FF61,0X50
0X03FF62,0X8C
0X03FF63,0X11
0X03FF64,0X74
0X03FF65,0X20
0X03FF66,0XCC
0X03FF67,0XF8
0X03FF68,0X9E
0X03FF69,0XBA
0X03FF6A,0XC1
0X03FF6B,0XC0
0X03FF6C,0XA6
0X03FF6D,0XF6
0X03FF6E,0X15
0X03FF6F,0XE5
0X03FF70,0X6F
0X03FF71,0XFA
0X03FF72,0X2E
0X03FF73,0XE8
0X03FF74,0XB8
0X03FF75,0XB1
0X03FF76,0X90
0X03FF77,0X74
0X03FF78,0X2B
0X03FF79,0X5D
0X03FF7A,0X6C
0X03FF7B,0X56
0X03FF7C,0XCB
0X03FF7D,0X2E
0X03FF7E,0XE3
0X03FF7F,0XD1
0X03FF80,0XE6
0X03FF81,0X26
0X03FF82,0X6F
0X03FF83,0X3C
0X03FF84,0X41
0X03FF85,0X9D
0X03FF86,0X10
0X03FF87,0X33
0X03FF88,0X74
0X03FF89,0XA8
0X03FF8A,0XE9
0X03FF8B,0X38
0X03FF8C,0X41
0X03FF8D,0X38
0X03FF8E,0XCB
0X03FF8F,0X34
0X03FF90,0XEF
0X03FF91,0X9C
0X03FF92,0X38
0X03FF93,0X2E
0X03FF94,0XA9
0X03FF95,0XA4
0X03FF96,0XAF
0X03FF97,0X06
0X03FF98,0XBB
0X03FF99,0X27
0X03FF9A,0X22
0X03FF9B,0XDF
0X03FF9C,0X50
0X03FF9D,0X87
0X03FF9E,0X4A
0X03FF9F,0X72
0X03FFA0,0X3A
0X03FFA1,0XF7
0X03FFA2,0XCB
0X03FFA3,0X96
0X03FFA4,0XFE
0X03FFA5,0X1D
0X03FFA6,0XBC
0X03FFA7,0X0E
0X03FFA8,0XBB
0X03FFA9,0X80
0X03FFAA,0X77
0X03FFAB,0X79
0X03FFAC,0XF6
0X03FFAD,0XAD
0X03FFAE,0X2E
0X03FFAF,0X1C
0X03FFB0,0X8F
0X03FFB1,0X2E
0X03FFB2,0XDB
0X03FFB3,0X2E
0X03FFB4,0X8C
0X03FFB5,0X56
0X03FFB6,0X15
0X03FFB7,0X2E
0X03FFB8,0X21
0X03FFB9,0XFA
0X03FFBA,0XB4
0X03FFBB,0X13
0X03FFBC,0XDC
0X03FFBD,0X10
0X03FFBE,0XAC
0X03FFBF,0X2C
0X03FFC0,0X62
0X03FFC1,0XE8
0X03FFC2,0XED
0X03FFC3,0X9D
0X03FFC4,0X46
0X03FFC5,0X31
0X03FFC6,0XBF
0X03FFC7,0X2E
0X03FFC8,0XD2
0X03FFC9,0XF3
0X03FFCA,0X6F
0X03FFCB,0X2E
0X03FFCC,0X26
0X03FFCD,0X3C
0X03FFCE,0X05
0X03FFCF,0X10
0X03FFD0,0X3D
0X03FFD1,0XA5
0X03FFD2,0X2E
0X03FFD3,0X05
0X03FFD4,0X41
0X03FFD5,0X67
0X03FFD6,0XD3
0X03FFD7,0XCC
0X03FFD8,0X66
0X03FFD9,0X2E
0X03FFDA,0X81
0X03FFDB,0XC6
0X03FFDC,0X61
0X03FFDD,0X74
0X03FFDE,0X2E
0X03FFDF,0XE4
0X03FFE0,0X62
0X03FFE1,0X1F
0X03FFE2,0XC7
0X03FFE3,0X0A
0X03FFE4,0XFA
0X03FFE5,0X41
0X03FFE6,0X31
0X03FFE7,0X4E
0X03FFE8,0X21
0X03FFE9,0X23
0X03FFEA,0X26
0X03FFEB,0XA5
0X03FFEC,0X1B
0X03FFED,0X56
0X03FFEE,0XE9
0X03FFEF,0XA7
0X03FFF0,0X61
0X03FFF1,0XA4
0X03FFF2,0X3C
0X03FFF3,0X2E
0X03FFF4,0XB4
0X03FFF5,0X09
0X03FFF6,0XF7
0X03FFF7,0X03
0X03FFF8,0X50
0X03FFF9,0X45
0X03FFFA,0XFF
0X03FFFB,0XF1
0X03FFFC,0X95
0X03FFFD,0X1D
0X03FFFE,0X11
0X03FFFF,0X8C
