0,1
0X0BFF00,0XB3
0X0BFF01,0X52
0X0BFF02,0X0A
0X0BFF03,0X17
0X0BFF04,0X46
0X0BFF05,0X56
0X0BFF06,0X20
0X0BFF07,0X4D
0X0BFF08,0X1B
0X0BFF09,0X5C
0X0BFF0A,0XDE
0X0BFF0B,0X32
0X0BFF0C,0X74
0X0BFF0D,0XBD
0X0BFF0E,0X49
0X0BFF0F,0X1B
0X0BFF10,0X86
0X0BFF11,0X67
0X0BFF12,0X0F
0X0BFF13,0X6D
0X0BFF14,0X26
0X0BFF15,0X92
0X0BFF16,0X81
0X0BFF17,0X23
0X0BFF18,0XE7
0X0BFF19,0XA1
0X0BFF1A,0XD0
0X0BFF1B,0X50
0X0BFF1C,0X2B
0X0BFF1D,0X5D
0X0BFF1E,0X12
0X0BFF1F,0X32
0X0BFF20,0X25
0X0BFF21,0XF6
0X0BFF22,0XAE
0X0BFF23,0XAB
0X0BFF24,0X83
0X0BFF25,0X50
0X0BFF26,0XC7
0X0BFF27,0X4E
0X0BFF28,0X30
0X0BFF29,0X32
0X0BFF2A,0XC0
0X0BFF2B,0X1F
0X0BFF2C,0XD6
0X0BFF2D,0X56
0X0BFF2E,0XD5
0X0BFF2F,0XAC
0X0BFF30,0X81
0X0BFF31,0XD8
0X0BFF32,0XC9
0X0BFF33,0X32
0X0BFF34,0X25
0X0BFF35,0X0F
0X0BFF36,0XD1
0X0BFF37,0X8C
0X0BFF38,0X79
0X0BFF39,0X54
0X0BFF3A,0XD3
0X0BFF3B,0X32
0X0BFF3C,0X32
0X0BFF3D,0X91
0X0BFF3E,0XEF
0X0BFF3F,0XFB
0X0BFF40,0X6C
0X0BFF41,0X7D
0X0BFF42,0X55
0X0BFF43,0X46
0X0BFF44,0X3C
0X0BFF45,0X44
0X0BFF46,0X06
0X0BFF47,0X3E
0X0BFF48,0X3E
0X0BFF49,0XDC
0X0BFF4A,0X7E
0X0BFF4B,0X07
0X0BFF4C,0XB4
0X0BFF4D,0X32
0X0BFF4E,0X32
0X0BFF4F,0X3C
0X0BFF50,0X36
0X0BFF51,0X98
0X0BFF52,0X61
0X0BFF53,0X76
0X0BFF54,0X0B
0X0BFF55,0X53
0X0BFF56,0X45
0X0BFF57,0X32
0X0BFF58,0XC5
0X0BFF59,0X6B
0X0BFF5A,0X67
0X0BFF5B,0X1E
0X0BFF5C,0X90
0X0BFF5D,0X87
0X0BFF5E,0XA7
0X0BFF5F,0X44
0X0BFF60,0X36
0X0BFF61,0X3B
0X0BFF62,0X0D
0X0BFF63,0XE3
0X0BFF64,0XF2
0X0BFF65,0X00
0X0BFF66,0X7C
0X0BFF67,0X5D
0X0BFF68,0X45
0X0BFF69,0X33
0X0BFF6A,0X0F
0X0BFF6B,0XB4
0X0BFF6C,0X66
0X0BFF6D,0X98
0X0BFF6E,0X32
0X0BFF6F,0X95
0X0BFF70,0X7C
0X0BFF71,0X83
0X0BFF72,0X62
0X0BFF73,0XF9
0X0BFF74,0X75
0X0BFF75,0X92
0X0BFF76,0X6B
0X0BFF77,0XC2
0X0BFF78,0X37
0X0BFF79,0X80
0X0BFF7A,0X7D
0X0BFF7B,0X1C
0X0BFF7C,0XAC
0X0BFF7D,0X58
0X0BFF7E,0XE1
0X0BFF7F,0X77
0X0BFF80,0X80
0X0BFF81,0X66
0X0BFF82,0X31
0X0BFF83,0X3F
0X0BFF84,0XF8
0X0BFF85,0X97
0X0BFF86,0X32
0X0BFF87,0X57
0X0BFF88,0X6E
0X0BFF89,0X47
0X0BFF8A,0XEF
0X0BFF8B,0X46
0X0BFF8C,0X02
0X0BFF8D,0XEC
0X0BFF8E,0X88
0X0BFF8F,0X31
0X0BFF90,0XB2
0X0BFF91,0XAA
0X0BFF92,0X22
0X0BFF93,0X95
0X0BFF94,0X3B
0X0BFF95,0X08
0X0BFF96,0XE5
0X0BFF97,0X78
0X0BFF98,0X07
0X0BFF99,0X56
0X0BFF9A,0X38
0X0BFF9B,0X4D
0X0BFF9C,0X52
0X0BFF9D,0X32
0X0BFF9E,0XD9
0X0BFF9F,0X29
0X0BFFA0,0XDD
0X0BFFA1,0XEE
0X0BFFA2,0XD0
0X0BFFA3,0X65
0X0BFFA4,0X75
0X0BFFA5,0XCD
0X0BFFA6,0X02
0X0BFFA7,0XFA
0X0BFFA8,0XAC
0X0BFFA9,0X73
0X0BFFAA,0X40
0X0BFFAB,0XB1
0X0BFFAC,0XB0
0X0BFFAD,0X8A
0X0BFFAE,0X32
0X0BFFAF,0XAA
0X0BFFB0,0X22
0X0BFFB1,0XE5
0X0BFFB2,0X91
0X0BFFB3,0XE9
0X0BFFB4,0X33
0X0BFFB5,0X4E
0X0BFFB6,0X68
0X0BFFB7,0X5B
0X0BFFB8,0X73
0X0BFFB9,0X59
0X0BFFBA,0X31
0X0BFFBB,0X9F
0X0BFFBC,0X98
0X0BFFBD,0X32
0X0BFFBE,0X32
0X0BFFBF,0XBE
0X0BFFC0,0XB6
0X0BFFC1,0XD4
0X0BFFC2,0X15
0X0BFFC3,0X32
0X0BFFC4,0X96
0X0BFFC5,0XAD
0X0BFFC6,0X32
0X0BFFC7,0XF8
0X0BFFC8,0X64
0X0BFFC9,0XD3
0X0BFFCA,0X6D
0X0BFFCB,0X7E
0X0BFFCC,0X0E
0X0BFFCD,0X52
0X0BFFCE,0X25
0X0BFFCF,0X81
0X0BFFD0,0XEB
0X0BFFD1,0X99
0X0BFFD2,0XFB
0X0BFFD3,0XE4
0X0BFFD4,0X66
0X0BFFD5,0X08
0X0BFFD6,0X08
0X0BFFD7,0XD6
0X0BFFD8,0X9E
0X0BFFD9,0XD5
0X0BFFDA,0X71
0X0BFFDB,0XBF
0X0BFFDC,0XDC
0X0BFFDD,0XA6
0X0BFFDE,0X2A
0X0BFFDF,0X40
0X0BFFE0,0X30
0X0BFFE1,0X76
0X0BFFE2,0X35
0X0BFFE3,0X8B
0X0BFFE4,0XCB
0X0BFFE5,0XB7
0X0BFFE6,0X75
0X0BFFE7,0XE4
0X0BFFE8,0XF1
0X0BFFE9,0XCE
0X0BFFEA,0XA5
0X0BFFEB,0X08
0X0BFFEC,0XCF
0X0BFFED,0XD8
0X0BFFEE,0X66
0X0BFFEF,0XBD
0X0BFFF0,0X76
0X0BFFF1,0XC5
0X0BFFF2,0X9C
0X0BFFF3,0X3B
0X0BFFF4,0X7F
0X0BFFF5,0XF5
0X0BFFF6,0XE3
0X0BFFF7,0X52
0X0BFFF8,0XA6
0X0BFFF9,0XCE
0X0BFFFA,0X1C
0X0BFFFB,0XD2
0X0BFFFC,0XB2
0X0BFFFD,0X1B
0X0BFFFE,0X9C
0X0BFFFF,0XE3
